City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kieta,PG,-6.2167,155.6333,84.04,72,75,2.98,light rain
1,Jamestown,US,42.097,-79.2353,35.19,90,1,0.0,clear sky
2,Avarua,CK,-21.2078,-159.775,82.45,78,23,14.97,few clouds
3,Hirara,JP,24.8,125.2833,75.47,78,75,12.66,broken clouds
4,Cabo San Lucas,MX,22.8909,-109.9124,88.61,39,90,1.99,overcast clouds
5,Saint Anthony,US,45.0205,-93.218,47.89,79,1,1.99,clear sky
6,Leningradskiy,RU,69.3833,178.4167,-2.52,95,56,9.6,broken clouds
7,Bluff,NZ,-46.6,168.3333,54.48,65,77,21.61,broken clouds
8,Kruisfontein,ZA,-34.0033,24.7314,62.89,89,100,10.04,overcast clouds
9,Malkara,TR,40.89,26.9011,45.5,70,100,12.06,overcast clouds
10,Hermanus,ZA,-34.4187,19.2345,60.91,83,85,5.59,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,47.86,66,75,25.32,light rain
12,Morant Bay,JM,17.8815,-76.4093,80.22,80,99,10.02,overcast clouds
13,Hobart,AU,-42.8794,147.3294,62.11,60,75,4.0,light rain
14,Fuling,CN,29.7022,107.3919,52.18,95,100,2.93,overcast clouds
15,Chokurdakh,RU,70.6333,147.9167,-15.59,100,52,5.68,broken clouds
16,Albany,US,42.6001,-73.9662,39.27,80,63,6.71,broken clouds
17,Severnoye,RU,56.3491,78.3619,4.06,86,39,10.04,scattered clouds
18,Tuy Hoa,VN,13.0833,109.3,76.44,92,100,6.44,overcast clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,75,5.75,mist
20,Dikson,RU,73.5069,80.5464,-9.62,94,66,4.76,broken clouds
21,Okhotsk,RU,59.3833,143.3,10.2,78,100,24.43,overcast clouds
22,Marica,BR,-22.9194,-42.8186,75.11,85,27,14.92,scattered clouds
23,Iqaluit,CA,63.7506,-68.5145,-0.67,71,20,16.11,few clouds
24,Beringovskiy,RU,63.05,179.3167,28.63,86,100,18.28,overcast clouds
25,Busselton,AU,-33.65,115.3333,66.09,66,97,11.16,overcast clouds
26,Vaini,TO,-21.2,-175.2,82.56,78,75,11.5,broken clouds
27,Trumbull,US,41.3167,-80.7665,40.71,78,40,5.75,scattered clouds
28,Qaanaaq,GL,77.484,-69.3632,1.11,74,94,9.46,overcast clouds
29,Port Hedland,AU,-20.3167,118.5667,87.85,58,6,10.36,clear sky
30,Longyearbyen,SJ,78.2186,15.6401,22.84,68,20,27.63,few clouds
31,Vila Velha,BR,-20.3297,-40.2925,69.75,98,75,4.61,broken clouds
32,Bredasdorp,ZA,-34.5322,20.0403,59.29,91,94,1.72,overcast clouds
33,Tacuati,PY,-23.45,-56.5833,72.75,94,100,2.13,heavy intensity rain
34,Iberia,US,29.9502,-91.7507,69.87,77,40,5.75,scattered clouds
35,Cape Town,ZA,-33.9258,18.4232,63.01,70,0,6.91,clear sky
36,Carnarvon,AU,-24.8667,113.6333,69.87,73,90,18.41,overcast clouds
37,Nikolskoye,RU,59.7035,30.7861,39.87,94,100,5.37,overcast clouds
38,Huarmey,PE,-10.0681,-78.1522,65.01,82,95,7.9,overcast clouds
39,Zvishavane,ZW,-20.3267,30.0665,76.23,29,4,3.02,clear sky
40,Mataura,NZ,-46.1927,168.8643,51.71,94,94,10.0,overcast clouds
41,Clyde River,CA,70.4692,-68.5914,17.83,73,90,5.75,overcast clouds
42,Tuatapere,NZ,-46.1333,167.6833,50.67,86,97,9.89,overcast clouds
43,Rikitea,PF,-23.1203,-134.9692,74.62,75,4,17.27,clear sky
